ts,bearing,raw,confidence,snr_db,coherence,signal_strength
2026-02-05T06:00:00.348Z,134.1,188.3,0.06,-62.0,0.16,0.00
2026-02-05T06:00:00.348Z,161.1,221.8,0.06,-61.8,0.16,0.00
2026-02-05T06:00:00.348Z,162.8,155.4,0.06,-62.0,0.16,0.00
2026-02-05T06:00:00.348Z,195.9,270.5,0.00,-62.2,0.00,0.00
2026-02-05T06:00:00.349Z,172.8,27.7,0.09,-62.4,0.24,0.00
2026-02-05T06:00:00.349Z,163.0,139.6,0.06,-62.8,0.16,0.00
2026-02-05T06:00:00.349Z,164.4,228.7,0.00,-42.0,0.00,0.01
2026-02-05T06:00:00.349Z,200.4,335.4,0.18,-39.2,0.46,0.01
2026-02-05T06:00:00.350Z,160.2,69.9,0.18,-39.2,0.46,0.01
2026-02-05T06:00:00.350Z,185.9,156.0,0.00,-39.2,0.00,0.01
2026-02-05T06:00:00.350Z,166.1,40.4,0.18,-39.2,0.46,0.01
2026-02-05T06:00:00.350Z,140.9,102.8,0.18,-39.2,0.46,0.01
2026-02-05T06:00:00.350Z,108.2,171.8,0.00,-39.2,0.00,0.01
2026-02-05T06:00:00.350Z,140.5,231.8,0.00,-39.2,0.00,0.01
2026-02-05T06:00:00.351Z,148.3,194.8,0.00,-39.2,0.00,0.01
2026-02-05T06:00:00.351Z,186.3,230.5,0.00,-39.2,0.00,0.01
2026-02-05T06:00:00.351Z,220.3,272.7,0.00,-39.2,0.00,0.01
2026-02-05T06:00:00.351Z,216.4,152.4,0.08,-48.9,0.21,0.00
2026-02-05T06:00:00.352Z,217.5,237.4,0.07,-43.9,0.18,0.01
2026-02-05T06:00:00.352Z,238.2,298.0,0.07,-43.9,0.18,0.01
2026-02-05T06:00:00.352Z,245.8,268.5,0.07,-43.9,0.18,0.01
2026-02-05T06:00:00.352Z,262.9,358.0,0.00,-43.9,0.00,0.01
2026-02-05T06:00:00.352Z,251.3,94.3,0.08,-43.9,0.20,0.01
2026-02-05T06:00:00.353Z,273.7,349.8,0.00,-43.9,0.00,0.01
2026-02-05T06:00:00.353Z,224.5,51.9,0.08,-43.9,0.20,0.01
2026-02-05T06:00:00.353Z,195.0,120.7,0.08,-43.9,0.20,0.01
2026-02-05T06:00:00.353Z,159.6,181.2,0.00,-43.9,0.00,0.01
2026-02-05T06:00:00.353Z,190.8,250.2,0.02,-43.8,0.05,0.01
2026-02-05T06:00:00.354Z,179.4,292.9,0.03,-43.7,0.08,0.01
2026-02-05T06:00:00.354Z,173.8,24.0,0.16,-43.7,0.39,0.01
2026-02-05T06:00:00.354Z,154.5,24.4,0.16,-43.7,0.39,0.01
2026-02-05T06:00:00.354Z,147.1,144.0,0.00,-43.7,0.00,0.01
2026-02-05T06:00:00.354Z,151.3,271.0,0.03,-43.7,0.07,0.01
2026-02-05T06:00:00.354Z,98.7,30.1,0.16,-43.7,0.39,0.01
2026-02-05T06:00:00.355Z,141.8,239.3,0.03,-43.7,0.07,0.01
2026-02-05T06:00:00.355Z,199.8,314.7,0.16,-43.7,0.39,0.01
2026-02-05T06:00:00.355Z,207.3,181.3,0.03,-43.7,0.08,0.01
2026-02-05T06:00:00.355Z,156.4,16.5,0.16,-43.7,0.39,0.01
2026-02-05T06:00:00.355Z,219.8,347.2,0.15,-40.6,0.36,0.01
2026-02-05T06:00:00.356Z,184.2,61.5,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.356Z,145.8,122.8,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.356Z,128.8,96.3,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.356Z,151.1,127.7,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.356Z,115.0,166.7,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.357Z,142.2,197.4,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.357Z,145.9,141.4,0.00,-40.0,0.00,0.01
2026-02-05T06:00:00.357Z,179.6,264.7,0.16,-40.0,0.40,0.01
2026-02-05T06:00:00.357Z,220.4,332.0,0.16,-40.0,0.40,0.01
2026-02-05T06:00:00.357Z,235.2,240.6,0.16,-40.0,0.40,0.01
2026-02-05T06:00:00.358Z,204.4,43.1,0.12,-50.2,0.29,0.00
2026-02-05T06:00:00.358Z,195.9,99.0,0.00,-49.2,0.00,0.00
2026-02-05T06:00:00.358Z,210.2,336.2,0.12,-49.3,0.31,0.00
2026-02-05T06:00:00.358Z,148.0,20.9,0.12,-49.3,0.31,0.00
2026-02-05T06:00:00.358Z,114.0,70.9,0.12,-49.3,0.31,0.00
2026-02-05T06:00:00.359Z,133.3,139.6,0.04,-49.2,0.09,0.00
2026-02-05T06:00:00.359Z,169.7,280.7,0.12,-49.2,0.31,0.00
2026-02-05T06:00:00.359Z,116.6,70.6,0.13,-49.1,0.31,0.00
